# Voltage (V), Field (mT), Current (A), Field (mT)
7.070707070707076269e-01, 1.259184593843983180e+00, 2.824141044444601900e-01, 1.246822408532907378e+00
9.090909090909082835e-01, 1.614818381543884573e+00, 3.631711176872094993e-01, 1.604126943931100335e+00
1.111111111111110716e+00, 1.977635554558317077e+00, 4.439281309299588085e-01, 1.966497154614047282e+00
1.313131313131313149e+00, 2.334639139298528399e+00, 5.246851441727088394e-01, 2.317185972378570380e+00
1.515151515151515582e+00, 2.696457321116710659e+00, 6.054421574154581487e-01, 2.672766286119235168e+00
1.717171717171716239e+00, 3.059006538861518187e+00, 6.861991706582082351e-01, 3.042176290446465980e+00
1.919191919191918672e+00, 3.409593338247216554e+00, 7.669561839009575444e-01, 3.392800638019068504e+00
2.121212121212121104e+00, 3.772656025993100570e+00, 8.477131971437068536e-01, 3.748513942031263202e+00
2.323232323232323537e+00, 4.122554240117210611e+00, 9.284702103864568290e-01, 4.099694001777693053e+00
2.525252525252524194e+00, 4.489399799508698941e+00, 1.009227223629206138e+00, 4.462447579365293571e+00
2.727272727272726627e+00, 4.847366412025799320e+00, 1.089984236871956114e+00, 4.820922751773924375e+00
2.929292929292929060e+00, 5.209944442096944073e+00, 1.170741250114705423e+00, 5.171758225071827475e+00
3.131313131313131493e+00, 5.560604512564177426e+00, 1.251498263357454732e+00, 5.527040338236629324e+00
3.333333333333333925e+00, 5.922820957480348092e+00, 1.332255276600204930e+00, 5.886454645769570782e+00
3.535353535353534582e+00, 6.284639139298527688e+00, 1.413012289842954239e+00, 6.237680556280603028e+00
3.737373737373737015e+00, 6.639198200253670912e+00, 1.493769303085704214e+00, 6.599339130642737139e+00
3.939393939393939448e+00, 6.998275502934892423e+00, 1.574526316328453523e+00, 6.953827750526668794e+00
4.141414141414141881e+00, 7.360093684753074683e+00, 1.655283329571202833e+00, 7.305570534042627351e+00
4.343434343434342537e+00, 7.714312231819492993e+00, 1.736040342813952808e+00, 7.664597685951522799e+00
4.545454545454544970e+00, 8.082247656907044941e+00, 1.816797356056702117e+00, 8.027428430038636264e+00
4.747474747474747403e+00, 8.435286671951569559e+00, 1.897554369299452093e+00, 8.379359845031961740e+00
4.949494949494949836e+00, 8.788790662089645878e+00, 1.978311382542201402e+00, 8.729902428404816561e+00
5.151515151515150492e+00, 9.160116727007519444e+00, 2.059068395784950933e+00, 9.083930227416516345e+00
5.353535353535352925e+00, 9.510789683173587861e+00, 2.139825409027700687e+00, 9.444207881790582348e+00
5.555555555555555358e+00, 9.872820957480346493e+00, 2.220582422270449996e+00, 9.797256638974786824e+00
5.757575757575757791e+00, 1.022629297796063241e+01, 2.301339435513199305e+00, 1.014915269457573466e+01
5.959595959595958448e+00, 1.058645732111670767e+01, 2.382096448755949503e+00, 1.051003567939566530e+01
6.161616161616162657e+00, 1.094892001707802898e+01, 2.462853461998699700e+00, 1.086161676943898158e+01
6.363636363636363313e+00, 1.130861501600167784e+01, 2.543610475241448121e+00, 1.121236448782597783e+01
6.565656565656563970e+00, 1.166317546087127077e+01, 2.624367488484198319e+00, 1.157606900677028783e+01
6.767676767676768179e+00, 1.202373004838943693e+01, 2.705124501726948072e+00, 1.192729966047602552e+01
6.969696969696968836e+00, 1.238554823020761830e+01, 2.785881514969696937e+00, 1.227852631618098478e+01
7.171717171717173045e+00, 1.273835761164571423e+01, 2.866638528212446690e+00, 1.263112512362398299e+01
7.373737373737373701e+00, 1.309969420524064532e+01, 2.947395541455196888e+00, 1.298213167657729805e+01
7.575757575757574358e+00, 1.346064245374077295e+01, 3.028152554697945309e+00, 1.333454997181305757e+01
7.777777777777778567e+00, 1.381276452009057820e+01, 3.108909567940695506e+00, 1.369636540120896306e+01
7.979797979797979224e+00, 1.417463913929852737e+01, 3.189666581183445260e+00, 1.404732635165276555e+01
8.181818181818179880e+00, 1.453684371158574073e+01, 3.270423594426195457e+00, 1.440021153208839877e+01
8.383838383838384090e+00, 1.488824463409961574e+01, 3.351180607668943878e+00, 1.475082105998991366e+01
8.585858585858584746e+00, 1.524052673683289605e+01, 3.431937620911694076e+00, 1.510389047061188528e+01
8.787878787878788955e+00, 1.560191186657125684e+01, 3.512694634154444273e+00, 1.545494926637581834e+01
8.989898989898989612e+00, 1.596373004838943643e+01, 3.593451647397192694e+00, 1.580715594563690374e+01
9.191919191919190268e+00, 1.632554823020761603e+01, 3.674208660639942892e+00, 1.615851843891587691e+01
9.393939393939394478e+00, 1.668736641202580273e+01, 3.754965673882692645e+00, 1.650016350637020679e+01
9.595959595959595134e+00, 1.703929435676978343e+01, 3.835722687125441510e+00, 1.685273445255898395e+01
9.797979797979799343e+00, 1.740105367955880311e+01, 3.916479700368191263e+00, 1.720357468998608041e+01
1.000000000000000000e+01, 1.775282095748034550e+01, 3.997236713610941461e+00, 1.754560499621173264e+01
