# Voltage (V), Field (mT), Current (A), Field (mT)
-7.070707070707070718e-01, -8.581763734883883998e+00, -2.833202264654908209e-01, -8.583558082836852066e+00
-5.050505050505050830e-01, -6.213817423379331295e+00, -2.023942979649841212e-01, -6.216251514753442287e+00
-3.030303030303030387e-01, -3.853668157022638319e+00, -1.214683694644774076e-01, -3.852610917026415116e+00
-1.010101010101010083e-01, -1.489763054701129130e+00, -4.054244096397068703e-02, -1.486422090644731409e+00
1.010101010101010083e-01, 8.893067250063659834e-01, 4.038348753653602657e-02, 8.894310337682007628e-01
3.030303030303030387e-01, 3.260319466629626906e+00, 1.213094160370427471e-01, 3.258107254128697505e+00
5.050505050505050830e-01, 5.629999999999999893e+00, 2.022353445375494607e-01, 5.629197228336873415e+00
7.070707070707070718e-01, 8.000000000000000000e+00, 2.831612730380561604e-01, 8.001085798648183811e+00
9.090909090909090606e-01, 1.036999999999999922e+01, 3.640872015385628879e-01, 1.037021715171821512e+01
1.111111111111111160e+00, 1.274000000000000021e+01, 4.450131300390696154e-01, 1.274041201495017184e+01
1.313131313131313149e+00, 1.510999999999999943e+01, 5.259390585395763429e-01, 1.510906279217252646e+01
1.515151515151515138e+00, 1.748000000000000043e+01, 6.068649870400830704e-01, 1.748249857027442999e+01
1.717171717171717127e+00, 1.985000000000000142e+01, 6.877909155405897978e-01, 1.985418177030286202e+01
1.919191919191919116e+00, 2.222000000000000242e+01, 7.687168440410965253e-01, 2.221823033581214801e+01
2.121212121212121104e+00, 2.458999999999999986e+01, 8.496427725416032528e-01, 2.458761801743006004e+01
2.323232323232323093e+00, 2.695926101864069935e+01, 9.305687010421098693e-01, 2.695853790649292137e+01
2.525252525252525082e+00, 2.933527931044249115e+01, 1.011494629542616597e+00, 2.933747770304446334e+01
2.727272727272727071e+00, 3.170817126941844677e+01, 1.092420558043123435e+00, 3.171118846953608994e+01
2.929292929292929504e+00, 3.407011766785310414e+01, 1.173346486543630052e+00, 3.406958060798911703e+01
3.131313131313131493e+00, 3.644903286369059714e+01, 1.254272415044136890e+00, 3.644434331348114142e+01
3.333333333333333481e+00, 3.882111173778112345e+01, 1.335198343544643507e+00, 3.882127982892750850e+01
3.535353535353535470e+00, 4.118544132901771349e+01, 1.416124272045150123e+00, 4.118893690883211178e+01
3.737373737373737459e+00, 4.354953954177164377e+01, 1.497050200545656962e+00, 4.355193278410725100e+01
3.939393939393939448e+00, 4.591964367754118825e+01, 1.577976129046163578e+00, 4.591876236543043888e+01
4.141414141414140992e+00, 4.828097949435647962e+01, 1.658902057546670417e+00, 4.827862130302288080e+01
4.343434343434343425e+00, 5.065109761989074144e+01, 1.739827986047177033e+00, 5.065186744740424274e+01
4.545454545454545858e+00, 5.301169435608900216e+01, 1.820753914547683872e+00, 5.301623551626082076e+01
4.747474747474747403e+00, 5.536700683302726844e+01, 1.901679843048190488e+00, 5.537218681693150302e+01
4.949494949494949836e+00, 5.772921717555799148e+01, 1.982605771548697327e+00, 5.773022160946135273e+01
5.151515151515151381e+00, 6.008312753089668234e+01, 2.063531700049204165e+00, 6.008032281932504759e+01
5.353535353535353813e+00, 6.243633321569904382e+01, 2.144457628549710559e+00, 6.243791626443143628e+01
5.555555555555555358e+00, 6.479596963764159057e+01, 2.225383557050217398e+00, 6.479943071886101791e+01
5.757575757575757791e+00, 6.715411388008109839e+01, 2.306309485550724236e+00, 6.715521855475131474e+01
5.959595959595959336e+00, 6.949879572476854150e+01, 2.387235414051230631e+00, 6.949773693441302669e+01
6.161616161616161769e+00, 7.184541744233028737e+01, 2.468161342551737469e+00, 7.184285295691296369e+01
6.363636363636363313e+00, 7.418644309415878979e+01, 2.549087271052244308e+00, 7.418734484193484491e+01
6.565656565656565746e+00, 7.651585887752347048e+01, 2.630013199552751146e+00, 7.652017702573293434e+01
6.767676767676767291e+00, 7.883483654818941488e+01, 2.710939128053257541e+00, 7.883851751263634355e+01
6.969696969696969724e+00, 8.114755668440533043e+01, 2.791865056553764379e+00, 8.114589253018044701e+01
7.171717171717172157e+00, 8.344569793434807536e+01, 2.872790985054271218e+00, 8.344365456013363769e+01
7.373737373737373701e+00, 8.574584659959272415e+01, 2.953716913554778056e+00, 8.574655696478514244e+01
7.575757575757576134e+00, 8.803170842900304649e+01, 3.034642842055284451e+00, 8.803318425134229130e+01
7.777777777777777679e+00, 9.030197446605438927e+01, 3.115568770555791289e+00, 9.030253426470876832e+01
7.979797979797980112e+00, 9.256727051918025495e+01, 3.196494699056298128e+00, 9.256881769773247015e+01
8.181818181818181657e+00, 9.482619918570098605e+01, 3.277420627556804522e+00, 9.482682772279524386e+01
8.383838383838384090e+00, 9.707875878079896381e+01, 3.358346556057311361e+00, 9.707995611936728153e+01
8.585858585858586522e+00, 9.932545525365800643e+01, 3.439272484557818199e+00, 9.932604826821305721e+01
8.787878787878787179e+00, 1.015633078007698344e+02, 3.520198413058325038e+00, 1.015632987591999807e+02
8.989898989898989612e+00, 1.037881302091295055e+02, 3.601124341558831432e+00, 1.037910750502753103e+02
9.191919191919192045e+00, 1.060066131993891076e+02, 3.682050270059338271e+00, 1.060107080936388542e+02
9.393939393939394478e+00, 1.082255732767578422e+02, 3.762976198559845109e+00, 1.082283261139852470e+02
9.595959595959595134e+00, 1.104399081371675777e+02, 3.843902127060351948e+00, 1.104417998257846563e+02
9.797979797979797567e+00, 1.126495959595959562e+02, 3.924828055560858342e+00, 1.126513823940013168e+02
1.000000000000000000e+01, 1.148599999999999994e+02, 4.005753984061365180e+00, 1.148599999999999994e+02
