# Voltage (V), Field (mT), Current (A), Field (mT)
2.525252525252524194e+00, 4.503529683461831579e-01, 1.009188762987799137e+00, 4.497634909910170342e-01
2.727272727272726627e+00, 4.862585708918361616e-01, 1.089943120087591311e+00, 4.864177074503874820e-01
2.929292929292929060e+00, 5.221074063538948540e-01, 1.170697477187383484e+00, 5.206854892072367846e-01
3.131313131313131493e+00, 5.582172015986762714e-01, 1.251451834287175657e+00, 5.569519218089447055e-01
3.333333333333333925e+00, 5.948743348986011981e-01, 1.332206191386967831e+00, 5.930609962889543674e-01
3.535353535353534582e+00, 6.296164967329574980e-01, 1.412960548486760004e+00, 6.296908097037123841e-01
3.737373737373737015e+00, 6.659106554260143529e-01, 1.493714905586552177e+00, 6.647754783865114092e-01
3.939393939393939448e+00, 7.009835825193271308e-01, 1.574469262686344351e+00, 7.005733121326971347e-01
4.141414141414141881e+00, 7.371983154448039643e-01, 1.655223619786136524e+00, 7.373427383355102283e-01
4.343434343434342537e+00, 7.733801336266219462e-01, 1.735977976885928697e+00, 7.728080543817239523e-01
4.545454545454544970e+00, 8.095619518084401500e-01, 1.816732333985720871e+00, 8.094307464053736023e-01
4.747474747474747403e+00, 8.466875792911537912e-01, 1.897486691085513932e+00, 8.444654409001490780e-01
4.949494949494949836e+00, 8.808064799505539444e-01, 1.978241048185306106e+00, 8.807110592241689240e-01
5.151515151515150492e+00, 9.181290658796863458e-01, 2.058995405285098279e+00, 9.169262158133741902e-01
5.353535353535352925e+00, 9.534751718423826183e-01, 2.139749762384890452e+00, 9.520029764940365347e-01
5.555555555555555358e+00, 9.902981290631359679e-01, 2.220504119484682626e+00, 9.892020334373612389e-01
5.757575757575757791e+00, 1.025818244765559717e+00, 2.301258476584474799e+00, 1.024718033074535573e+00
5.959595959595958448e+00, 1.060931023626377812e+00, 2.382012833684266973e+00, 1.059882513042946117e+00
6.161616161616162657e+00, 1.098095428471393742e+00, 2.462767190784059146e+00, 1.095153815211057369e+00
6.363636363636363313e+00, 1.134050448569664304e+00, 2.543521547883851319e+00, 1.133164754363692683e+00
6.565656565656563970e+00, 1.169506493056623908e+00, 2.624275904983643493e+00, 1.167204449268919086e+00
6.767676767676768179e+00, 1.204626917363077254e+00, 2.705030262083435666e+00, 1.206474169294738497e+00
6.969696969696968836e+00, 1.242769899049445348e+00, 2.785784619183227839e+00, 1.240593321682925909e+00
7.171717171717173045e+00, 1.277809743357119832e+00, 2.866538976283020013e+00, 1.275813034904903276e+00
7.373737373737373701e+00, 1.315129778303478325e+00, 2.947293333382812186e+00, 1.312200041782699111e+00
7.575757575757574358e+00, 1.350195054246501103e+00, 3.028047690482604359e+00, 1.347190743387318701e+00
7.777777777777778567e+00, 1.384583193586109262e+00, 3.108802047582397421e+00, 1.383343836997644738e+00
7.979797979797979224e+00, 1.422734328206910037e+00, 3.189556404682189594e+00, 1.419651966957895306e+00
8.181818181818179880e+00, 1.456765556925025296e+00, 3.270310761781981768e+00, 1.455762449842389561e+00
8.383838383838384090e+00, 1.494004675898377377e+00, 3.351065118881773941e+00, 1.491016703737292781e+00
8.585858585858584746e+00, 1.528184856539701153e+00, 3.431819475981566114e+00, 1.527099027469303705e+00
8.787878787878788955e+00, 1.563454740378915186e+00, 3.512573833081358288e+00, 1.563350524043685352e+00
8.989898989898989612e+00, 1.602614404883124122e+00, 3.593328190181150461e+00, 1.598504836819568009e+00
9.191919191919190268e+00, 1.637718818592181602e+00, 3.674082547280942634e+00, 1.634638516464528735e+00
9.393939393939394478e+00, 1.671942051109200911e+00, 3.754836904380734808e+00, 1.670919973012867210e+00
9.595959595959595134e+00, 1.708097971424349826e+00, 3.835591261480526981e+00, 1.709006508969394211e+00
9.797979797979799343e+00, 1.745294364060412162e+00, 3.916345618580319154e+00, 1.742171256382021527e+00
1.000000000000000000e+01, 1.781471042717531317e+00, 3.997099975680110884e+00, 1.779392895961332544e+00
