# Voltage (V), Field (mT), Current (A), Field (mT)
2.323232323232323537e+00, 1.140723169128462899e+02, 9.285191256538412041e-01, 1.143045156538860851e+02
2.525252525252524194e+00, 1.238562607918522502e+02, 1.009278311620598334e+00, 1.241481033368975488e+02
2.727272727272726627e+00, 1.336118344362097048e+02, 1.090037497587355464e+00, 1.339416363982208793e+02
2.929292929292929060e+00, 1.433241836926080452e+02, 1.170796683554112594e+00, 1.436122362620231740e+02
3.131313131313131493e+00, 1.530814979373290043e+02, 1.251555869520869724e+00, 1.532955057582268239e+02
3.333333333333333925e+00, 1.626568676837128749e+02, 1.332315055487626854e+00, 1.628409707891057394e+02
3.535353535353534582e+00, 1.722849765204119592e+02, 1.413074241454383984e+00, 1.724015319445100829e+02
3.737373737373737015e+00, 1.816780041975560778e+02, 1.493833427421141113e+00, 1.818329071018702621e+02
3.939393939393939448e+00, 1.910697922178040642e+02, 1.574592613387898243e+00, 1.911429913650584638e+02
4.141414141414141881e+00, 2.002175537229676650e+02, 1.655351799354655373e+00, 2.003039435176389986e+02
4.343434343434342537e+00, 2.091160375799192082e+02, 1.736110985321412503e+00, 2.092737807850860463e+02
4.545454545454544970e+00, 2.177032155933803494e+02, 1.816870171288169633e+00, 2.177972794960377598e+02
4.747474747474747403e+00, 2.261099729864920391e+02, 1.897629357254926763e+00, 2.261474477906892275e+02
4.949494949494949836e+00, 2.341574948071253175e+02, 1.978388543221683893e+00, 2.341316763172168578e+02
5.151515151515150492e+00, 2.418319128724422455e+02, 2.059147729188441023e+00, 2.418671942293395034e+02
5.353535353535352925e+00, 2.494025126454133954e+02, 2.139906915155198153e+00, 2.493865735646666622e+02
5.555555555555555358e+00, 2.566669521541481345e+02, 2.220666101121955283e+00, 2.565274900328614081e+02
5.757575757575757791e+00, 2.636224572823443850e+02, 2.301425287088712412e+00, 2.635804140564282534e+02
5.959595959595958448e+00, 2.702929893193772841e+02, 2.382184473055469542e+00, 2.701779129403911384e+02
6.161616161616162657e+00, 2.766725900376237632e+02, 2.462943659022226672e+00, 2.764182888120953976e+02
6.363636363636363313e+00, 2.825320446820564371e+02, 2.543702844988983802e+00, 2.823967838575940164e+02
6.565656565656563970e+00, 2.880150180764013044e+02, 2.624462030955740932e+00, 2.876801103087766478e+02
6.767676767676768179e+00, 2.927177298933452789e+02, 2.705221216922498062e+00, 2.925625119475586757e+02
6.969696969696968836e+00, 2.967726980603348466e+02, 2.785980402889255192e+00, 2.964380074010435919e+02
7.171717171717173045e+00, 3.003189251826432837e+02, 2.866739588856012322e+00, 2.999767020750458641e+02
7.373737373737373701e+00, 3.035430239835533257e+02, 2.947498774822769452e+00, 3.031995014588127901e+02
7.575757575757574358e+00, 3.066719315610612853e+02, 3.028257960789526582e+00, 3.064240459266180210e+02
7.777777777777778567e+00, 3.095938610042499022e+02, 3.109017146756283712e+00, 3.092505482301711481e+02
7.979797979797979224e+00, 3.125121536592228608e+02, 3.189776332723040841e+00, 3.121678486445111389e+02
8.181818181818179880e+00, 3.152316874780019589e+02, 3.270535518689797971e+00, 3.148932859677025249e+02
8.383838383838384090e+00, 3.179483634869588968e+02, 3.351294704656555101e+00, 3.175967388399863012e+02
8.585858585858584746e+00, 3.205612058017351842e+02, 3.432053890623312231e+00, 3.202206784129020889e+02
8.787878787878788955e+00, 3.230779961849057713e+02, 3.512813076590069361e+00, 3.227331171168488027e+02
8.989898989898989612e+00, 3.255904496327604534e+02, 3.593572262556826491e+00, 3.251463660884043065e+02
9.191919191919190268e+00, 3.281047153384862440e+02, 3.674331448523583621e+00, 3.276590470382421358e+02
9.393939393939394478e+00, 3.305182480169161749e+02, 3.755090634490340751e+00, 3.299735660411050731e+02
9.595959595959595134e+00, 3.328298735682869278e+02, 3.835849820457097881e+00, 3.322866928682336720e+02
9.797979797979799343e+00, 3.351415149283213282e+02, 3.916609006423855011e+00, 3.344926064739009348e+02
1.000000000000000000e+01, 3.374531249936543986e+02, 3.997368192390611696e+00, 3.368066029564515702e+02
